"No.","Time","Source","Destination","Protocol","Length","Antenna signal","Data rate (Mb/s)","SSID","Signal strength (dBm)","Type/Subtype","Info"
"741","12.690960513","103.25.231.30","192.168.33.211","TCP","1456","-25 dBm,-34 dBm,-25 dBm","19.5","","-25 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=919699 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"742","12.690965801","103.25.231.30","192.168.33.211","TCP","1456","-25 dBm,-34 dBm,-25 dBm","19.5","","-25 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=921005 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"743","12.690969267","103.25.231.30","192.168.33.211","SSL","1456","-25 dBm,-34 dBm,-25 dBm","19.5","","-25 dBm","QoS Data","[TCP ACKed unseen segment] [TCP Spurious Retransmission] , Continuation Data"
"744","12.700940529","103.25.231.30","192.168.33.211","TCP","1456","-25 dBm,-34 dBm,-25 dBm","13","","-25 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=913169 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"745","12.700975766","103.25.231.30","192.168.33.211","TCP","1456","-25 dBm,-34 dBm,-25 dBm","13","","-25 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=914475 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"746","12.700982752","103.25.231.30","192.168.33.211","TCP","1456","-25 dBm,-34 dBm,-25 dBm","13","","-25 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=915781 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"747","12.700988444","103.25.231.30","192.168.33.211","TCP","1456","-25 dBm,-34 dBm,-25 dBm","13","","-25 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=917087 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"748","12.700995249","103.25.231.30","192.168.33.211","TCP","1456","-25 dBm,-34 dBm,-25 dBm","13","","-25 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=918393 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"749","12.708324189","103.25.231.30","192.168.33.211","TCP","1452","-25 dBm,-34 dBm,-25 dBm","6","","-25 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=913169 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"751","12.708381865","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=914475 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"752","12.708388432","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=915781 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"753","12.711187954","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=917087 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"754","12.711224071","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=918393 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"755","12.711230370","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=919699 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"756","12.711236435","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=921005 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"757","12.711242832","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=922311 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"758","12.711247998","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=923617 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"759","12.711255905","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=924923 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"760","12.711261093","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=926229 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"761","12.711272286","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","[TCP Spurious Retransmission] 443  >  58879 [ACK] Seq=927535 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"762","12.711277875","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","[TCP Retransmission] 443  >  58879 [ACK] Seq=928841 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"763","12.711283900","103.25.231.30","192.168.33.211","TCP","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","[TCP Retransmission] 443  >  58879 [ACK] Seq=930147 Ack=4856 Win=42368 Len=1306 TSval=898421546 TSecr=2942639088"
"764","12.711288759","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"765","12.711293385","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"766","12.711297901","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"767","12.711302988","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
"768","12.711308117","103.25.231.30","192.168.33.211","SSL","1456","-29 dBm,-38 dBm,-29 dBm","130","","-29 dBm","QoS Data","Continuation Data"
