"No.","Time","Source","Destination","Protocol","Length","Antenna signal","Data rate (Mb/s)","SSID","Signal strength (dBm)","Type/Subtype","Info"
"23","35.577369288","","NothingTechn_96:ab:54","802.11","70","-89 dBm,-89 dBm,-91 dBm","2","","-91 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"24","35.581675002","","NothingTechn_96:ab:54","802.11","70","-89 dBm,-89 dBm,-91 dBm","2","","-91 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"25","35.655265769","","NothingTechn_96:ab:54","802.11","70","-89 dBm,-89 dBm,-93 dBm","2","","-93 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"26","35.659761594","","NothingTechn_96:ab:54","802.11","70","-89 dBm,-89 dBm,-91 dBm","2","","-91 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"27","35.706823754","","NothingTechn_96:ab:54","802.11","70","-89 dBm,-89 dBm,-91 dBm","2","","-91 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"28","39.447601664","","NothingTechn_96:ab:54","802.11","70","-91 dBm,-92 dBm,-91 dBm","2","","-91 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"29","39.451909980","","NothingTechn_96:ab:54","802.11","70","-92 dBm,-93 dBm,-92 dBm","2","","-92 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"30","39.537545748","","NothingTechn_96:ab:54","802.11","70","-92 dBm,-92 dBm,-93 dBm","2","","-93 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"31","43.390376830","","NothingTechn_96:ab:54","802.11","70","-91 dBm,-91 dBm,-92 dBm","2","","-92 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"32","43.412184591","","NothingTechn_96:ab:54","802.11","70","-89 dBm,-89 dBm,-90 dBm","2","","-90 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"33","43.425000772","","7a:66:f5:a2:e6:f5","802.11","70","-89 dBm,-89 dBm,-90 dBm","2","","-90 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"34","43.437950687","","Apple_ae:39:af","802.11","70","-87 dBm,-90 dBm,-87 dBm","1","","-87 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"35","43.454539021","","Apple_ae:39:af","802.11","70","-90 dBm,-92 dBm,-90 dBm","1","","-90 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"36","43.467931089","","7a:66:f5:a2:e6:f5","802.11","70","-90 dBm,-91 dBm,-90 dBm","2","","-90 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"37","43.483800274","","NothingTechn_96:ab:54","802.11","70","-90 dBm,-90 dBm,-91 dBm","2","","-91 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"38","43.490409245","","NothingTechn_96:ab:54","802.11","70","-91 dBm,-91 dBm,-91 dBm","2","","-91 dBm","Acknowledgement","Acknowledgement, Flags=........C"
"39","43.500374279","","Apple_ae:39:af","802.11","70","-88 dBm,-88 dBm,-88 dBm","1","","-88 dBm","Acknowledgement","Acknowledgement, Flags=........C"
